;MV1_Singlecell_C;MV2_Singlecell_R;MV3_Singlecell_N;MV4_Cellgroups_C;MV5_Cellgroups_R;MV6_Cellgroups_N;Average_Cellgroups;Average_Singlecell;Average_C;Average_R;Average_N
Cre01.g000017.v5.5;377;321;699;562;467;305;444,6666667;465,6666667;469,5;394;502
Cre01.g000033.v5.5;859;881;1817;1557;1181;1991;1576,333333;1185,666667;1208;1031;1904
Cre01.g000050.v5.5;173;72;147;185;143;169;165,6666667;130,6666667;179;107,5;158
Cre01.g000100.v5.5;78;63;77;30;27;38;31,66666667;72,66666667;54;45;57,5
Cre01.g000150.v5.5;98;123;158;52;17;23;30,66666667;126,3333333;75;70;90,5
Cre01.g000200.v5.5;109;80;114;105;79;73;85,66666667;101;107;79,5;93,5
Cre01.g000250.v5.5;103;127;211;121;120;160;133,6666667;147;112;123,5;185,5
Cre01.g000300.v5.5;713;252;1050;712;415;1192;773;671,6666667;712,5;333,5;1121
Cre01.g000350.v5.5;234;385;452;290;203;288;260,3333333;357;262;294;370
Cre01.g000400.v5.5;63;37;25;23;15;21;19,66666667;41,66666667;43;26;23
Cre01.g000450.v5.5;134;103;119;87;86;104;92,33333333;118,6666667;110,5;94,5;111,5
Cre01.g000500.v5.5;41;36;41;227;142;282;217;39,33333333;134;89;161,5
Cre01.g000550.v5.5;12;4;12;14;14;16;14,66666667;9,333333333;13;9;14
Cre01.g000600.v5.5;281;129;252;407;207;428;347,3333333;220,6666667;344;168;340
Cre01.g000650.v5.5;339;227;473;74;43;112;76,33333333;346,3333333;206,5;135;292,5
Cre01.g000700.v5.5;46;17;39;22;12;19;17,66666667;34;34;14,5;29
Cre01.g000750.v5.5;288;150;205;264;177;297;246;214,3333333;276;163,5;251
Cre01.g000800.v5.5;26;22;36;10;12;18;13,33333333;28;18;17;27
Cre01.g000850.v5.5;241;332;365;320;205;416;313,6666667;312,6666667;280,5;268,5;390,5
Cre01.g000900.v5.5;943;723;688;614;447;520;527;784,6666667;778,5;585;604
Cre01.g000950.v5.5;13;5;3;2;2;3;2,333333333;7;7,5;3,5;3
Cre01.g001000.v5.5;8;3;4;1;7;2;3,333333333;5;4,5;5;3
Cre01.g001100.v5.5;882;415;377;385;388;483;418,6666667;558;633,5;401,5;430
Cre01.g001150.v5.5;180;89;123;137;107;140;128;130,6666667;158,5;98;131,5
Cre01.g001200.v5.5;445;291;416;947;762;1040;916,3333333;384;696;526,5;728
Cre01.g001250.v5.5;63;16;19;150;117;100;122,3333333;32,66666667;106,5;66,5;59,5
Cre01.g001300.v5.5;182;49;147;175;132;191;166;126;178,5;90,5;169
Cre01.g001350.v5.5;19;10;13;5;13;10;9,333333333;14;12;11,5;11,5
Cre01.g001400.v5.5;2953;83;395;555;232;687;491,3333333;1143,666667;1754;157,5;541
Cre01.g001450.v5.5;32;27;34;31;35;30;32;31;31,5;31;32
Cre01.g001501.v5.5;53;18;62;82;35;102;73;44,33333333;67,5;26,5;82
Cre01.g001550.v5.5;365;388;668;383;253;428;354,6666667;473,6666667;374;320,5;548
Cre01.g001600.v5.5;214;108;170;129;106;75;103,3333333;164;171,5;107;122,5
Cre01.g001650.v5.5;15;7;17;30;14;44;29,33333333;13;22,5;10,5;30,5
Cre01.g001657.v5.5;126;163;258;126;123;153;134;182,3333333;126;143;205,5
Cre01.g001664.v5.5;116;28;54;79;37;57;57,66666667;66;97,5;32,5;55,5
Cre01.g001671.v5.5;0;1;0;0;0;0;0;0,333333333;0;0,5;0
Cre01.g001678.v5.5;599;251;392;562;401;659;540,6666667;414;580,5;326;525,5
Cre01.g001685.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre01.g001700.v5.5;158;73;48;69;20;31;40;93;113,5;46,5;39,5
Cre01.g001750.v5.5;526;349;559;364;177;285;275,3333333;478;445;263;422
Cre01.g001800.v5.5;350;252;343;404;246;390;346,6666667;315;377;249;366,5
Cre01.g001950.v5.5;208;104;199;160;86;188;144,6666667;170,3333333;184;95;193,5
Cre01.g001983.v5.5;537;184;312;272;178;416;288,6666667;344,3333333;404,5;181;364
Cre01.g002050.v5.5;106;58;97;43;46;190;93;87;74,5;52;143,5
Cre01.g002100.v5.5;32;26;45;20;30;34;28;34,33333333;26;28;39,5
Cre01.g002150.v5.5;15;6;7;11;28;20;19,66666667;9,333333333;13;17;13,5
Cre01.g002200.v5.5;234;99;218;272;152;296;240;183,6666667;253;125,5;257
Cre01.g002201.v5.5;26;6;17;13;3;4;6,666666667;16,33333333;19,5;4,5;10,5
Cre01.g002203.v5.5;6;0;8;2;0;1;1;4,666666667;4;0;4,5
Cre01.g002227.v5.5;72;28;68;131;53;145;109,6666667;56;101,5;40,5;106,5
Cre01.g002234.v5.5;72;45;57;78;50;85;71;58;75;47,5;71
Cre01.g002250.v5.5;71;106;160;106;81;132;106,3333333;112,3333333;88,5;93,5;146
Cre01.g002300.v5.5;2593;2215;2006;1984;1378;2298;1886,666667;2271,333333;2288,5;1796,5;2152
Cre01.g002350.v5.5;168;112;154;87;70;93;83,33333333;144,6666667;127,5;91;123,5
Cre01.g002400.v5.5;45;47;61;31;41;36;36;51;38;44;48,5
Cre01.g002451.v5.5;26;22;13;6;8;2;5,333333333;20,33333333;16;15;7,5
Cre01.g002500.v5.5;1240;3221;2938;1337;750;1029;1038,666667;2466,333333;1288,5;1985,5;1983,5
Cre01.g002550.v5.5;730;475;481;820;647;1027;831,3333333;562;775;561;754
Cre01.g002600.v5.5;16;10;15;27;28;61;38,66666667;13,66666667;21,5;19;38
Cre01.g002650.v5.5;1;0;0;1;3;3;2,333333333;0,333333333;1;1,5;1,5
Cre01.g002700.v5.5;92;41;62;49;54;56;53;65;70,5;47,5;59
Cre01.g002750.v5.5;47;65;77;41;23;85;49,66666667;63;44;44;81
Cre01.g002787.v5.5;15;3;9;15;7;9;10,33333333;9;15;5;9
Cre01.g002824.v5.5;8;1;1;2;0;0;0,666666667;3,333333333;5;0,5;0,5
Cre01.g002861.v5.5;215;111;112;226;166;180;190,6666667;146;220,5;138,5;146
Cre01.g002900.v5.5;77;268;137;210;183;274;222,3333333;160,6666667;143,5;225,5;205,5
Cre01.g002950.v5.5;110;53;135;83;62;82;75,66666667;99,33333333;96,5;57,5;108,5
Cre01.g003000.v5.5;14;1;3;6;2;7;5;6;10;1,5;5
Cre01.g003050.v5.5;101;18;65;28;24;84;45,33333333;61,33333333;64,5;21;74,5
Cre01.g003100.v5.5;0;1;0;1;1;2;1,333333333;0,333333333;0,5;1;1
Cre01.g003150.v5.5;59;34;64;31;30;54;38,33333333;52,33333333;45;32;59
Cre01.g003200.v5.5;52;49;54;47;41;34;40,66666667;51,66666667;49,5;45;44
Cre01.g003250.v5.5;0;0;0;0;0;1;0,333333333;0;0;0;0,5
Cre01.g003300.v5.5;0;72;0;0;0;1;0,333333333;24;0;36;0,5
Cre01.g003376.v5.5;247;64;406;312;146;444;300,6666667;239;279,5;105;425
Cre01.g003450.v5.5;148;60;148;88;76;76;80;118,6666667;118;68;112
Cre01.g003463.v5.5;205;132;137;142;102;141;128,3333333;158;173,5;117;139
Cre01.g003475.v5.5;0;2;2;8;7;10;8,333333333;1,333333333;4;4,5;6
Cre01.g003487.v5.5;39;18;44;46;47;63;52;33,66666667;42,5;32,5;53,5
Cre01.g003500.v5.5;189;69;118;71;71;63;68,33333333;125,3333333;130;70;90,5
Cre01.g003508.v5.5;36;25;12;30;25;11;22;24,33333333;33;25;11,5
Cre01.g003516.v5.5;419;303;250;492;376;444;437,3333333;324;455,5;339,5;347
Cre01.g003524.v5.5;587;466;407;637;389;735;587;486,6666667;612;427,5;571
Cre01.g003532.v5.5;59;37;45;99;99;80;92,66666667;47;79;68;62,5
Cre01.g003541.v5.5;0;1;1;1;1;1;1;0,666666667;0,5;1;1
