GeneID;MV1_Singlecell_C;MV2_Singlecell_R;MV3_Singlecell_N;MV4_Cellgroups_C;MV5_Cellgroups_R;MV6_Cellgroups_N;Average_Cellgroups;Average_Singlecell;Average_C;Average_R;Average_N
Cre01.g000017;8,382665417;8,751413187;9,04734552;8,969604802;9,10987637;8,331572757;8,727141375;8,803684643;8,676135109;8,930644778;8,689459139
Cre01.g000033;9,732655123;10,25707016;10,50359487;10,48505949;10,54066506;10,60363936;10,16444005;10,5431213;10,1088573;10,39886761;10,55361712
Cre01.g000050;7,061680683;6,832510525;7,038101372;7,348913128;7,417443881;7,167739284;6,97743086;7,311365431;7,205296905;7,124977203;7,102920328
Cre01.g000100;5,728189971;6,024097384;5,822585522;5,248195432;5,400953904;5,321279008;5,858290959;5,323476115;5,488192702;5,712525644;5,571932265
Cre01.g000150;6,086866939;6,796497115;6,614280324;5,80248708;5,303788394;5,200242634;6,499214793;5,435506036;5,94467701;6,050142755;5,907261479
Cre01.g000200;6,415212099;6,640767192;6,559225957;6,602039532;6,644013344;6,223872187;6,538401749;6,489975021;6,508625815;6,642390268;6,391549072
Cre01.g000250;6,628527723;7,276351751;7,324573707;6,965454699;7,241423441;7,098526464;7,076484394;7,101801535;6,796991211;7,258887596;7,211550085
Cre01.g000300;9,148929556;8,769820466;9,623879596;9,388204094;9,205337733;9,75900062;9,180876539;9,450847482;9,268566825;8,9875791;9,691440108
Cre01.g000350;7,760858866;8,71728159;8,443956849;8,166676541;8,148973705;8,057395916;8,307365768;8,124348721;7,963767704;8,433127647;8,250676383
Cre01.g000400;5,164276727;5,198297833;4,635253248;4,666242827;4,618362591;4,546312962;4,999275936;4,610306127;4,915259777;4,908330212;4,590783105
Cre01.g000450;6,659497305;6,931209641;6,672182191;6,529572553;6,792198291;6,576002253;6,754296379;6,632591033;6,594534929;6,861703966;6,624092222
Cre01.g000500;5,760024519;6,07156578;5,846769385;7,334601279;7,207039089;7,428681744;5,892786562;7,323440704;6,547312899;6,639302434;6,637725565
Cre01.g000550;3,409281378;3,256950398;3,464205819;3,593259529;3,761223966;3,600931787;3,376812532;3,651805094;3,501270453;3,509087182;3,532568803
Cre01.g000600;7,83638514;7,680816173;7,857972547;8,405072147;8,095676447;8,341429377;7,79172462;8,28072599;8,120728643;7,88824631;8,099700962
Cre01.g000650;7,726125703;7,899026539;8,170700273;6,686242986;6,550266542;6,90608515;7,931950838;6,714198226;7,206184344;7,22464654;7,538392711
Cre01.g000700;4,791050484;4,529512387;4,768778738;4,493091477;4,351853547;4,346882365;4,696447203;4,397275796;4,642070981;4,440682967;4,557830552
Cre01.g000750;7,758552989;7,703975549;7,58393045;7,917979904;7,861406102;7,916845965;7,682152996;7,89874399;7,838266447;7,782690826;7,750388207
Cre01.g000800;4,268510165;4,519891217;4,551725711;3,941343207;4,18038982;4,151298203;4,446709031;4,09101041;4,104926686;4,350140519;4,351511957
Cre01.g000850;7,797805404;8,588717575;8,26257972;8,265164689;8,169550492;8,39349478;8,216367567;8,276069987;8,031485047;8,379134033;8,32803725
Cre01.g000900;9,396667106;9,697426966;9,233199154;9,251704551;9,268523436;9,002363844;9,442431075;9,174197277;9,324185829;9,482975201;9,117781499
Cre01.g000950;2,316926754;2,173008598;1,951458035;1,915011463;1,96798894;1,954108939;2,147131129;1,945703114;2,115969109;2,070498769;1,952783487
Cre01.g001000;2,102146552;1,999655727;1,964796859;1,817450053;2,247266848;1,863441792;2,022199713;1,976052898;1,959798302;2,123461287;1,914119326
Cre01.g001100;9,169904962;9,015687274;8,530686881;8,663674955;8,969314594;8,757546849;8,905426372;8,796845466;8,916789958;8,992500934;8,644116865
Cre01.g001150;7,021522125;6,92487871;6,818522545;7,01775008;7,092536776;6,936280546;6,921641127;7,015522467;7,019636103;7,008707743;6,877401545
Cre01.g001200;8,704528089;8,841483326;8,75976711;9,616134222;9,729934469;9,591923657;8,768592842;9,645997449;9,160331156;9,285708898;9,175845383
Cre01.g001250;5,739442651;5,253720262;5,084747872;6,686985079;6,764013389;6,224071276;5,359303595;6,558356582;6,213213865;6,008866825;5,654409574
Cre01.g001300;7,073693367;6,51532126;7,007253372;7,270969199;7,317615341;7,243478975;6,865422666;7,277354505;7,172331283;6,916468301;7,125366173
Cre01.g001350;3,593076831;3,562929949;3,478296809;3,199910171;3,701274297;3,377920008;3,544767863;3,426368159;3,396493501;3,632102123;3,428108409
Cre01.g001400;10,39604624;7,758463252;8,586546715;9,006613314;8,535633059;9,093557801;8,913685403;8,878601391;9,701329778;8,147048156;8,840052258
Cre01.g001450;4,793124467;5,06142296;4,914710262;4,94206254;5,25617405;4,84580686;4,923085896;5,01468115;4,867593503;5,158798505;4,880258561
Cre01.g001501;5,495915753;5,198535163;5,706336659;6,031531695;5,632758687;6,114781811;5,466929192;5,926357398;5,763723724;5,415646925;5,910559235
Cre01.g001550;8,298707278;8,871981874;8,955508651;8,571512051;8,503000544;8,564336376;8,708732601;8,54628299;8,435109664;8,687491209;8,759922513
Cre01.g001600;7,175212509;7,091508837;7,091862769;6,971982004;7,089652691;6,45753666;7,119528038;6,839723785;7,073597257;7,090580764;6,774699714
Cre01.g001650;3,964903479;3,910122395;4,089291522;4,497172293;4,236560899;4,681189077;3,988105799;4,471640756;4,231037886;4,073341647;4,3852403
